0;140;2
0;251;2
0;021;1
0;032;2
0;043;1
0;352;3
0;154;1
0;210;1
0;320;2
0;430;3
0;453;2
0;541;3
0;102;3
0;014;0
0;125;2
0;235;3
0;345;2
0;203;2
0;401;2
0;512;2
0;523;3
0;534;2
0;304;1
0;415;1
1;041;1
1;152;1
1;120;2
1;230;3
1;340;2
1;253;2
1;451;2
1;012;0
1;023;1
1;034;2
1;354;3
1;145;2
1;201;2
1;410;1
1;521;3
1;532;2
1;543;3
1;302;1
1;104;3
1;215;1
1;325;2
1;435;3
1;403;2
1;514;2
2;041;2
2;152;2
2;120;1
2;230;2
2;340;3
2;253;1
2;451;3
2;012;1
2;023;0
2;034;1
2;354;2
2;145;3
2;201;3
2;410;2
2;521;2
2;532;3
2;543;2
2;302;2
2;104;2
2;215;2
2;325;1
2;435;2
2;403;1
2;514;3
3;140;2
3;251;2
3;021;1
3;032;2
3;043;3
3;352;3
3;154;1
3;210;3
3;320;2
3;430;3
3;453;2
3;541;3
3;102;1
3;014;2
3;125;0
3;235;1
3;345;2
3;203;2
3;401;2
3;512;2
3;523;1
3;534;2
3;304;3
3;415;1
4;140;3
4;251;3
4;021;2
4;032;3
4;043;2
4;352;2
4;154;2
4;210;2
4;320;1
4;430;2
4;453;3
4;541;2
4;102;2
4;014;1
4;125;3
4;235;2
4;345;1
4;203;1
4;401;1
4;512;3
4;523;2
4;534;1
4;304;0
4;415;2
5;140;3
5;251;3
5;021;2
5;032;3
5;043;2
5;352;2
5;154;2
5;210;2
5;320;3
5;430;2
5;453;1
5;541;2
5;102;2
5;014;1
5;125;1
5;235;2
5;345;1
5;203;3
5;401;1
5;512;1
5;523;2
5;534;3
5;304;2
5;415;0
6;140;2
6;251;2
6;021;3
6;032;2
6;043;1
6;352;1
6;154;3
6;210;3
6;320;2
6;430;3
6;453;2
6;541;1
6;102;3
6;014;2
6;125;2
6;235;1
6;345;0
6;203;2
6;401;2
6;512;2
6;523;3
6;534;2
6;304;1
6;415;1
7;140;3
7;251;1
7;021;2
7;032;1
7;043;2
7;352;2
7;154;2
7;210;2
7;320;3
7;430;2
7;453;3
7;541;2
7;102;2
7;014;3
7;125;1
7;235;0
7;345;1
7;203;1
7;401;3
7;512;3
7;523;2
7;534;1
7;304;2
7;415;2
8;01;0
8;12;2
8;23;3
8;34;2
8;45;2
8;02;1
8;35;3
8;03;2
8;14;2
8;25;2
8;04;1
8;15;3
8;40;2
8;51;2
8;30;3
8;41;1
8;52;3
8;20;2
8;53;4
8;10;3
8;21;1
8;32;2
8;43;3
8;54;3
9;01;1
9;12;3
9;23;2
9;34;1
9;45;3
9;02;2
9;35;2
9;03;1
9;14;1
9;25;3
9;04;0
9;15;2
9;40;3
9;51;3
9;30;2
9;41;2
9;52;4
9;20;3
9;53;3
9;10;2
9;21;2
9;32;3
9;43;2
9;54;2
10;01;2
10;12;2
10;23;3
10;34;2
10;45;2
10;02;1
10;35;1
10;03;2
10;14;4
10;25;2
10;04;3
10;15;3
10;40;2
10;51;2
10;30;1
10;41;3
10;52;1
10;20;2
10;53;2
10;10;3
10;21;3
10;32;0
10;43;3
10;54;3
11;01;2
11;12;2
11;23;1
11;34;2
11;45;2
11;02;1
11;35;3
11;03;0
11;14;2
11;25;2
11;04;1
11;15;3
11;40;2
11;51;4
11;30;3
11;41;3
11;52;3
11;20;2
11;53;2
11;10;3
11;21;3
11;32;2
11;43;1
11;54;3
12;01;1
12;12;3
12;23;2
12;34;3
12;45;3
12;02;2
12;35;2
12;03;3
12;14;3
12;25;1
12;04;2
12;15;2
12;40;3
12;51;1
12;30;2
12;41;2
12;52;2
12;20;1
12;53;3
12;10;2
12;21;0
12;32;3
12;43;4
12;54;2
13;01;2
13;12;2
13;23;3
13;34;2
13;45;2
13;02;3
13;35;3
13;03;2
13;14;0
13;25;2
13;04;1
13;15;1
13;40;2
13;51;2
13;30;3
13;41;3
13;52;3
13;20;2
13;53;2
13;10;1
13;21;3
13;32;4
13;43;3
13;54;1
14;01;3
14;12;1
14;23;2
14;34;3
14;45;1
14;02;2
14;35;2
14;03;3
14;14;1
14;25;1
14;04;2
14;15;0
14;40;3
14;51;3
14;30;4
14;41;2
14;52;2
14;20;3
14;53;3
14;10;2
14;21;2
14;32;3
14;43;2
14;54;2
15;01;3
15;12;3
15;23;2
15;34;1
15;45;3
15;02;4
15;35;2
15;03;3
15;14;1
15;25;3
15;04;2
15;15;2
15;40;3
15;51;1
15;30;2
15;41;2
15;52;2
15;20;3
15;53;1
15;10;2
15;21;2
15;32;3
15;43;2
15;54;0
16;01;3
16;12;3
16;23;2
16;34;1
16;45;1
16;02;2
16;35;0
16;03;3
16;14;3
16;25;1
16;04;2
16;15;2
16;40;3
16;51;3
16;30;2
16;41;2
16;52;2
16;20;3
16;53;3
16;10;4
16;21;2
16;32;1
16;43;2
16;54;2
17;01;1
17;12;1
17;23;2
17;34;3
17;45;3
17;02;0
17;35;2
17;03;1
17;14;3
17;25;3
17;04;2
17;15;2
17;40;3
17;51;3
17;30;2
17;41;2
17;52;2
17;20;3
17;53;3
17;10;2
17;21;2
17;32;1
17;43;2
17;54;4
18;01;2
18;12;2
18;23;1
18;34;2
18;45;2
18;02;3
18;35;1
18;03;2
18;14;2
18;25;0
18;04;3
18;15;1
18;40;4
18;51;2
18;30;3
18;41;3
18;52;3
18;20;2
18;53;2
18;10;3
18;21;1
18;32;2
18;43;3
18;54;3
19;01;2
19;12;4
19;23;3
19;34;0
19;45;2
19;02;3
19;35;1
19;03;2
19;14;2
19;25;2
19;04;1
19;15;3
19;40;2
19;51;2
19;30;1
19;41;3
19;52;3
19;20;2
19;53;2
19;10;3
19;21;3
19;32;2
19;43;3
19;54;1
